model,repeat,accuracy,precision,recall,f1,macro_f1,roc_auc,pr_auc,balanced_accuracy,brier
LR,0,0.8061224489795918,0.25,0.17857142857142858,0.20833333333333334,0.5489341085271318,0.6985544217687075,0.2795324598181764,0.5446428571428571,0.13376110443507988
SVM,0,0.8214285714285714,0.3939393939393939,0.4642857142857143,0.4262295081967213,0.6602446634639195,0.7704081632653061,0.4323903144360899,0.6726190476190477,0.12101223731662164
RF,0,0.8928571428571429,0.8888888888888888,0.2857142857142857,0.43243243243243246,0.6866387514274839,0.7210884353741497,0.5554467850459142,0.6398809523809523,0.09503236185382427
ET,0,0.9030612244897959,0.8,0.42857142857142855,0.5581395348837209,0.7518491370693676,0.7317176870748299,0.5539693129158201,0.7053571428571428,0.09340686047705803
GB,0,0.8877551020408163,0.875,0.25,0.3888888888888889,0.66354556803995,0.6847363945578232,0.5417510063743969,0.6220238095238095,0.08811274863726684
KNN,0,0.826530612244898,0.4117647058823529,0.5,0.45161290322580644,0.6742913000977517,0.726296768707483,0.44055176421125963,0.6904761904761905,0.10622903592261342
Ensemble,0,0.8979591836734694,0.9,0.32142857142857145,0.47368421052631576,0.7085935176925364,0.7253401360544217,0.5720967629022785,0.6577380952380952,0.08812173377762551
LR,1,0.8724489795918368,0.8163265306122449,0.7142857142857143,0.7619047619047619,0.8373983739837398,0.8756377551020409,0.8470776778580317,0.825,0.09610779162896184
SVM,1,0.8724489795918368,0.8297872340425532,0.6964285714285714,0.7572815533980582,0.8353881815433197,0.89375,0.8504497604025834,0.8196428571428571,0.09862867498929485
RF,1,0.8724489795918368,0.7924528301886793,0.75,0.7706422018348624,0.8411514896100107,0.9303571428571428,0.8798958589939464,0.8357142857142856,0.10247088433312308
ET,1,0.8928571428571429,0.7966101694915254,0.8392857142857143,0.8173913043478261,0.8707895149897975,0.9396683673469388,0.905617366710831,0.8767857142857143,0.08883564139909642
GB,1,0.9030612244897959,0.9111111111111111,0.7321428571428571,0.8118811881188119,0.8732945459494403,0.8917091836734693,0.8631837420730705,0.8517857142857143,0.09194349708033438
KNN,1,0.8112244897959183,0.7111111111111111,0.5714285714285714,0.6336633663366337,0.7532578000068049,0.8215561224489796,0.750884461884604,0.7392857142857143,0.13474934146218034
Ensemble,1,0.8826530612244898,0.7894736842105263,0.8035714285714286,0.7964601769911505,0.8570114505027437,0.9387755102040817,0.8956164716944787,0.8589285714285715,0.0879800309934243
LR,2,0.7551020408163265,0.6666666666666666,0.6285714285714286,0.6470588235294118,0.7297794117647058,0.7373015873015873,0.7554786418193888,0.726984126984127,0.18101558977124724
SVM,2,0.7908163265306123,0.6933333333333334,0.7428571428571429,0.7172413793103448,0.7756247382381684,0.8896825396825397,0.8733270643110737,0.7801587301587302,0.13214941450344547
RF,2,0.8112244897959183,0.8113207547169812,0.6142857142857143,0.6991869918699187,0.7808202617342159,0.8678004535147393,0.8430768203813122,0.7674603174603174,0.14310211404755446
ET,2,0.8163265306122449,0.7575757575757576,0.7142857142857143,0.7352941176470589,0.7973345588235294,0.9195011337868481,0.8826170989802401,0.7936507936507937,0.12082300742992652
GB,2,0.7959183673469388,0.8125,0.5571428571428572,0.6610169491525424,0.7575157738463442,0.8488662131519275,0.8109687059251225,0.7428571428571429,0.1734173380842046
KNN,2,0.7908163265306123,0.7959183673469388,0.5571428571428572,0.6554621848739496,0.7526395173453997,0.8397959183673469,0.7717762300347217,0.7388888888888889,0.14526219540574278
Ensemble,2,0.7755102040816326,0.7166666666666667,0.6142857142857143,0.6615384615384615,0.7467997651203758,0.8836734693877552,0.8459146248368654,0.7396825396825397,0.13814012384671964
LR,3,0.7653061224489796,0.9615384615384616,0.35714285714285715,0.5208333333333334,0.682713963963964,0.8797052154195011,0.829050114481361,0.6746031746031746,0.1457776963024662
SVM,3,0.7653061224489796,0.9285714285714286,0.37142857142857144,0.5306122448979592,0.6870748299319729,0.8834467120181406,0.8337391995222934,0.6777777777777778,0.13833831894987111
RF,3,0.8010204081632653,0.8780487804878049,0.5142857142857142,0.6486486486486487,0.7549293065307301,0.8620181405895693,0.8430488320711866,0.7373015873015873,0.1436293823235766
ET,3,0.8163265306122449,0.8695652173913043,0.5714285714285714,0.6896551724137931,0.7796101949025487,0.8710884353741496,0.847390114067207,0.7619047619047619,0.14746059278125828
GB,3,0.7857142857142857,0.85,0.4857142857142857,0.6181818181818182,0.734622823984526,0.8195011337868481,0.7828156367657729,0.719047619047619,0.1896998225204071
KNN,3,0.8214285714285714,0.972972972972973,0.5142857142857142,0.6728971962616822,0.7750450893589113,0.8493197278911564,0.8223015585503993,0.7531746031746032,0.1358326651036036
Ensemble,3,0.7959183673469388,0.875,0.5,0.6363636363636364,0.7472598323662154,0.8582766439909296,0.8291654885822942,0.7301587301587302,0.15164124629420273
LR,4,0.9387755102040817,1.0,0.7142857142857143,0.8333333333333334,0.8979166666666667,0.9783549783549784,0.9463378349871094,0.8571428571428572,0.10133215278784546
SVM,4,0.8877551020408163,1.0,0.47619047619047616,0.6451612903225806,0.789247311827957,0.768243661100804,0.7330108681555184,0.7380952380952381,0.09253112261400313
RF,4,0.9540816326530612,1.0,0.7857142857142857,0.88,0.9258044164037855,1.0,1.0,0.8928571428571428,0.02118359525117003
